College,Season,Coach,username,Coach,Role,Race
Air Force,2019,Jake Campbell,jake-campbell,Jake Campbell,Offensive Backs Coach,#N/A
Air Force,2019,John Rudzinski,john-rudzinski,John Rudzinski,Defensive Coordinator/Defensive Backs Coach,White
Air Force,2019,Jonathan Wallace,jonathan-wallace,Jonathan Wallace,Tight Ends Coach,Black
Air Force,2019,Mike Thiessen,mike-thiessen,Mike Thiessen,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2019,Ron Vanderlinden,ron-vanderlinden,Ron Vanderlinden,Inside Linebackers Coach,#N/A
Air Force,2019,Steed Lobotzke,steed-lobotzke,Steed Lobotzke,Offensive Line Coach,White
Air Force,2019,Terrance Jamison,terrance-jamison,Terrance Jamison,Defensive Line Coach,#N/A
Air Force,2019,Troy Calhoun,troy-calhoun,Troy Calhoun,Head Coach,White
Air Force,2020,Alex Means,alex-means,Alex Means,Outside Linebackers Coach,#N/A
Air Force,2020,Andre Morris,andre-morris,Andre Morris,Spurs Coach,#N/A
Air Force,2020,Ari Confesor,ari-confessor,Ari Confesor,Wide Receivers Coach,#N/A
Air Force,2020,Ben Miller,ben-miller,Ben Miller,Running Backs Coach/Special Teams Coordinator,White
Air Force,2020,Bill Sheridan,bill-sheridan,Bill Sheridan,Defensive Line Coach,White
Air Force,2020,Brian Knorr,brian-knorr,Brian Knorr,Inside Linebackers Coach,White
Air Force,2020,Curome Cox,curome-cox,Curome Cox,Defensive Backs Coach,#N/A
Air Force,2020,Jake Campbell,jake-campbell,Jake Campbell,Slot Backs Coach,#N/A
Air Force,2020,John Rudzinski,john-rudzinski,John Rudzinski,Defensive Coordinator/Defensive Backs Coach,White
Air Force,2020,Jonathan Himebauch,jonathan-himebauch,Jonathan Himebauch,Tight Ends Coach,#N/A
Air Force,2020,Mike Thiessen,mike-thiessen,Mike Thiessen,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2020,Steed Lobotzke,steed-lobotzke,Steed Lobotzke,Offensive Line Coach,White
Air Force,2020,Troy Calhoun,troy-calhoun,Troy Calhoun,Head Coach,White
Air Force,2021,Alex Means,alex-means,Alex Means,Outside Linebackers Coach,#N/A
Air Force,2021,Andre Morris,andre-morris,Andre Morris,Spurs Coach,#N/A
Air Force,2021,Ari Confesor,ari-confessor,Ari Confesor,Wide Receivers Coach,#N/A
Air Force,2021,Bill Sheridan,bill-sheridan,Bill Sheridan,Defensive Line Coach,White
Air Force,2021,Brian Knorr,brian-knorr,Brian Knorr,Inside Linebackers Coach/Specialists Coach,White
Air Force,2021,Curome Cox,curome-cox,Curome Cox,Defensive Backs Coach,#N/A
Air Force,2021,Del Cowsette,del-cowsette,Del Cowsette,Assistant Defensive Line Coach,#N/A
Air Force,2021,Jake Campbell,jake-campbell,Jake Campbell,Slot Backs Coach,#N/A
Air Force,2021,John Rudzinski,john-rudzinski,John Rudzinski,Defensive Coordinator,White
Air Force,2021,Jonathan Himebauch,jonathan-himebauch,Jonathan Himebauch,Tight Ends Coach,#N/A
Air Force,2021,Mike Thiessen,mike-thiessen,Mike Thiessen,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2021,Steed Lobotzke,steed-lobotzke,Steed Lobotzke,Offensive Line Coach,White
Air Force,2021,Tim Horton,tim-horton,Tim Horton,Running Backs Coach/Special Teams Coordinator,White
Air Force,2021,Troy Calhoun,troy-calhoun,Troy Calhoun,Head Coach,White
Akron,2000,Doug Geiser,doug-geiser,Doug Geiser,Tight Ends Coach,#N/A
Akron,2000,Greg Gillum,greg-gillum,Greg Gillum,Wide Receivers Coach/Recruiting Coordinator,White
Akron,2000,Joe Palmisano,joe-palmisano,Joe Palmisano,Defensive Coordinator,White
Akron,2000,Keith Uecker,keith-uecker,Keith Uecker,Offensive Line Coach,#N/A
Akron,2000,Lee Owens,lee-owens,Lee Owens,Head Coach,White
Akron,2000,Luke Fickell,luke-fickell,Luke Fickell,Defensive Line Coach,White
Akron,2000,NA,na,NA,NA,#N/A
Akron,2000,NA,na,NA,NA,#N/A
Akron,2000,Paul Winters,paul-winters,Paul Winters,Offensive Coordinator/Running Backs Coach,Black
Akron,2000,Tom Stacy,tom-stacy,Tom Stacy,Quarterbacks Coach,#N/A
Akron,2001,Doug Geiser,doug-geiser,Doug Geiser,Tight Ends Coach,#N/A
Akron,2001,Greg Gillum,greg-gillum,Greg Gillum,Wide Receivers Coach/Recruiting Coordinator,White
Akron,2001,Keith Uecker,keith-uecker,Keith Uecker,Offensive Line Coach,#N/A
Akron,2001,Lee Owens,lee-owens,Lee Owens,Head Coach,White
Akron,2001,Luke Fickell,luke-fickell,Luke Fickell,Defensive Line Coach,White
Akron,2001,NA,na,NA,NA,#N/A
Akron,2001,NA,na,NA,NA,#N/A
Akron,2001,NA,na,NA,NA,#N/A
Akron,2001,Paul Winters,paul-winters,Paul Winters,Offensive Coordinator/Running Backs Coach,Black
Akron,2001,Tom Stacy,tom-stacy,Tom Stacy,Quarterbacks Coach,#N/A
Akron,2002,Dick Flynn,dick-flynn,Dick Flynn,Linebackers Coach,#N/A
Akron,2002,Doug Geiser,doug-geiser,Doug Geiser,Tight Ends Coach,#N/A
Akron,2002,Greg Gillum,greg-gillum,Greg Gillum,Wide Receivers Coach/Recruiting Coordinator,White
Akron,2002,Jim Meyer,jim-meyer,Jim Meyer,Defensive Ends Coach,#N/A
Akron,2002,Joe Tresey,joe-tresey,Joe Tresey,Defensive Coordinator/Defensive Backs Coach,White
Akron,2002,Keith Uecker,keith-uecker,Keith Uecker,Offensive Line Coach,#N/A
Akron,2002,Lee Owens,lee-owens,Lee Owens,Head Coach,White
Akron,2002,NA,na,NA,NA,#N/A
Akron,2002,Paul Winters,paul-winters,Paul Winters,Offensive Coordinator/Running Backs Coach,Black
Akron,2002,Tom Stacy,tom-stacy,Tom Stacy,Quarterbacks Coach,#N/A
