"","College","Season","Coach","username","Coach.1","Role","Race"
"201","Auburn",2006,"Al Borges","al-borges","Al Borges","Offensive Coordinator/Quarterbacks Coach","White"
"202","Auburn",2007,"Al Borges","al-borges","Al Borges","Offensive Coordinator/Quarterbacks Coach","White"
"203","Auburn",2008,"Steve Ensminger","steve-ensminger","Steve Ensminger","Offensive Coordinator/Tight Ends Coach","White"
"204","Auburn",2008,"Tony Franklin","tony-franklin","Tony Franklin","Offensive Coordinator/Quarterbacks Coach","White"
"205","Auburn",2009,"Gus Malzahn","gus-malzahn","Gus Malzahn","Offensive Coordinator/Quarterbacks Coach","White"
"206","Auburn",2010,"Gus Malzahn","gus-malzahn","Gus Malzahn","Offensive Coordinator/Quarterbacks Coach","White"
"207","Auburn",2011,"Gus Malzahn","gus-malzahn","Gus Malzahn","Offensive Coordinator/Quarterbacks Coach","White"
"208","Auburn",2012,"Scot Loeffler","scot-loeffler","Scot Loeffler","Offensive Coordinator/Quarterbacks Coach","White"
"209","Auburn",2013,"Dameyune Craig","dameyune-craig","Dameyune Craig","Offensive Coordinator/Wide Receivers Coach","Black"
"210","Auburn",2013,"Rhett Lashlee","rhett-lashlee","Rhett Lashlee","Offensive Coordinator/Quarterbacks Coach","White"
"211","Auburn",2014,"Dameyune Craig","dameyune-craig","Dameyune Craig","Offensive Coordinator/Wide Receivers Coach","Black"
"212","Auburn",2014,"Rhett Lashlee","rhett-lashlee","Rhett Lashlee","Offensive Coordinator/Quarterbacks Coach","White"
"213","Auburn",2015,"Dameyune Craig","dameyune-craig","Dameyune Craig","Offensive Coordinator/Wide Receivers Coach","Black"
"214","Auburn",2015,"Rhett Lashlee","rhett-lashlee","Rhett Lashlee","Offensive Coordinator/Quarterbacks Coach","White"
"215","Auburn",2016,"Kodi Burns","kodi-burns","Kodi Burns","Offensive Coordinator/Wide Receivers Coach","Black"
"216","Auburn",2016,"Rhett Lashlee","rhett-lashlee","Rhett Lashlee","Offensive Coordinator/Quarterbacks Coach","White"
"217","Auburn",2017,"Chip Lindsey","chip-lindsey","Chip Lindsey","Offensive Coordinator/Quarterbacks Coach","White"
"218","Auburn",2017,"Kodi Burns","kodi-burns","Kodi Burns","Offensive Coordinator/Wide Receivers Coach","Black"
