"","Coach","Race"
"903","Tim Hundley","White"
"904","Andre Patterson","Black"
"905","Mike Cox","White"
"906","Jess Loepp","White"
"907","Rod Wright","Black"
"908","Herb Paterra","White"
"909","Bruce Fowler","White"
"910","Rick Lantz","White"
"911","Kelly Poppinga","White"
"912","Bud Foster","White"
"913","Justin Hamilton","White"
"914","Theo Lemon","Black"
"915","Tony Pierce","Black"
"916","Dean Hood","White"
"917","Tim Billings","White"
"918","Lyle Hemphill","White"
"919","Ed Donatell","White"
"920","Ikaika Malloe","Other"
"921","Jody Sears","White"
"922","Mike Breske","White"
"923","Darcel McBath","Black"
"924","Jake Dickert","White"
"925","Joe DeForest","White"
"926","Jordan Lesley","White"
"927","ShaDon Brown","Black"
"928","Maurice Crum Jr.","Black"
"929","J.C. Harper","White"
"930","Steve Morrison","White"
"931","Lou Esposito","White"
"932","Jim Leonhard","White"
"933","Chuck Petersen","White"
"934","Clay Hendrix","White"
"935","Tim Horton","White"
"936","Blane Morgan","White"
"937","Mike Thiessen","White"
"938","Paul Winters","Black"
"939","Jim Pry","White"
"940","John Latina","White"
"941","A.J. Milwee","White"
"942","Tommy Zagorski","White"
"943","Bryan Gasser","White"
"944","Charlie Stubbs","White"
"945","Les Koenning","White"
"946","David Rader","White"
"947","Joe Pendry","White"
"948","Doug Nussmeier","White"
"949","Brian Daboll","White"
"950","Josh Gattis","Black"
"951","Dwayne Ledford","White"
"952","Frank Ponce","White"
"953","Tony Petersen","White"
"954","Rick Dykes","White"
"955","Mike Deal","?"
"956","Mike Canales","White"
"957","Bill Bedenbaugh","White"
"958","Calvin Magee","Black"
"959","Rod Smith","White"
"960","Noel Mazzone","White"
"961","Brennan Carroll","White"
"962","John Pettas","White"
"963","Roy Wittke","White"
"964","Rich Olson","White"
"965","Rob Likens","White"
"966","Zak Hill","White"
"967","David Lee","White"
"968","Paul Petrino","White"
"969","Jim Chaney","White"
