"","College","Season","Coach","username","Coach.1","Role","Race"
"252","Baylor",2013,"Phil Bennett","phil-bennett","Phil Bennett","Defensive Coordinator","White"
"253","Baylor",2014,"Phil Bennett","phil-bennett","Phil Bennett","Defensive Coordinator","White"
"254","Baylor",2015,"Phil Bennett","phil-bennett","Phil Bennett","Defensive Coordinator","White"
"255","Baylor",2016,"Phil Bennett","phil-bennett","Phil Bennett","Defensive Coordinator","White"
"256","Baylor",2017,"Phil Snow","phil-snow","Phil Snow","Defensive Coordinator/Safeties Coach","White"
"257","Baylor",2018,"Phil Snow","phil-snow","Phil Snow","Defensive Coordinator/Safeties Coach","White"
"258","Baylor",2019,"Phil Snow","phil-snow","Phil Snow","Defensive Coordinator/Safeties Coach","White"
"259","Baylor",2020,"Ron Roberts","ron-roberts","Ron Roberts","Defensive Coordinator/Linebackers Coach","White"
"260","Baylor",2021,"Ron Roberts","ron-roberts","Ron Roberts","Defensive Coordinator/Inside Linebackers Coach","White"
"261","Boise State",2000,"Brent Guy","brent-guy","Brent Guy","Defensive Coordinator/Inside Linebackers Coach","White"
"262","Boise State",2001,"Bob Gregory","bob-gregory","Bob Gregory","Defensive Coordinator","White"
"263","Boise State",2002,"Ron Collins","ron-collins","Ron Collins","Defensive Coordinator/Linebackers Coach","White"
"264","Boise State",2003,"Ron Collins","ron-collins","Ron Collins","Defensive Coordinator/Linebackers Coach","White"
"265","Boise State",2004,"Ron Collins","ron-collins","Ron Collins","Defensive Coordinator/Linebackers Coach","White"
"266","Boise State",2005,"Ron Collins","ron-collins","Ron Collins","Defensive Coordinator/Linebackers Coach","White"
"267","Boise State",2006,"Justin Wilcox","justin-wilcox","Justin Wilcox","Defensive Coordinator","White"
"268","Boise State",2007,"Justin Wilcox","justin-wilcox","Justin Wilcox","Defensive Coordinator","White"
"269","Boise State",2008,"Justin Wilcox","justin-wilcox","Justin Wilcox","Defensive Coordinator","White"
"270","Boise State",2009,"Justin Wilcox","justin-wilcox","Justin Wilcox","Defensive Coordinator","White"
"271","Boise State",2010,"Pete Kwiatkowski","pete-kwiatkowski","Pete Kwiatkowski","Defensive Coordinator/Defensive Line Coach","White"
"272","Boise State",2011,"Pete Kwiatkowski","pete-kwiatkowski","Pete Kwiatkowski","Defensive Coordinator/Defensive Line Coach","White"
"273","Boise State",2012,"Pete Kwiatkowski","pete-kwiatkowski","Pete Kwiatkowski","Defensive Coordinator","White"
"274","Boise State",2013,"Pete Kwiatkowski","pete-kwiatkowski","Pete Kwiatkowski","Defensive Coordinator","White"
"275","Boise State",2014,"Marcel Yates","marcel-yates","Marcel Yates","Defensive Coordinator","Black"
"276","Boise State",2015,"Marcel Yates","marcel-yates","Marcel Yates","Defensive Coordinator/Safeties Coach","Black"
"277","Boise State",2016,"Andy Avalos","andy-avalos","Andy Avalos","Defensive Coordinator/Linebackers Coach","White"
"278","Boise State",2017,"Andy Avalos","andy-avalos","Andy Avalos","Defensive Coordinator/Linebackers Coach","White"
"279","Boise State",2018,"Andy Avalos","andy-avalos","Andy Avalos","Defensive Coordinator/Linebackers Coach","White"
"280","Boise State",2019,"Jeff Schmedding","jeff-schmedding","Jeff Schmedding","Defensive Coordinator/Inside Linebackers Coach","White"
"281","Boise State",2019,"Spencer Danielson","spencer-danielson","Spencer Danielson","Defensive Coordinator","White"
"282","Boise State",2020,"Jeff Schmedding","jeff-schmedding","Jeff Schmedding","Defensive Coordinator/Inside Linebackers Coach","White"
"283","Boise State",2020,"Spencer Danielson","spencer-danielson","Spencer Danielson","Defensive Coordinator/Defensive Line Coach","White"
"284","Boise State",2021,"Kane Ioane","kane-ioane","Kane Ioane","Safeties Coach/Defensive Coordinator","White"
