"","variable","betweenness","closeness","degree","eigen","Race","Race == ..."
"765","Ross Els",0,4.88679733962753e-07,2,0.00250851864459018,"White",TRUE
"766","Dale Lindsey",0,4.88679733962753e-07,1,5.25901562015256e-06,"White",TRUE
"767","Larry Coyer",0,4.88679733962753e-07,1,2.77260873179282e-06,"White",TRUE
"768","Zane Vance",0,4.88679733962753e-07,1,2.77260873178978e-06,"White",TRUE
"769","Ken Browning",0,4.88679733962753e-07,1,1.27381163900521e-05,"White",TRUE
"770","John Gutekunst",0,4.88679733962753e-07,1,7.12685687482751e-06,"White",TRUE
"771","Chuck Pagano",0,4.88679733962753e-07,1,8.42447808040147e-06,"White",TRUE
"772","Tommy Thigpen",0,4.88679733962753e-07,1,0.000456057486761582,"Black",TRUE
"773","Gary DeLoach",0,4.88679733962753e-07,2,0.000132485207743944,"White",TRUE
"774","Kenny Evans",0,4.88679733962753e-07,1,0.00013004744055517,"White",TRUE
"775","Fred Bleil",0,4.88679733962753e-07,1,4.33491468517129e-05,"White",TRUE
"776","Ron Mendoza",0,4.88679733962753e-07,1,8.12589062913841e-07,"White",TRUE
"777","Jon Skladany",0,4.88679733962753e-07,1,0.000800765937732895,"White",TRUE
"778","Denny Doornbos",0,4.88679733962753e-07,1,2.84447308085575e-05,"White",TRUE
"779","Jay Niemann",0,4.88679733962753e-07,3,0.000344783585920684,"White",TRUE
"780","Kevin Kane",0,4.88679733962753e-07,2,0.000393842741344254,"White",TRUE
"781","Jeff Knowles",0,4.88679733962753e-07,1,3.60408843693738e-05,"White",TRUE
"782","Jerry Brown",0,4.88679733962753e-07,1,4.1097122390368e-06,"White",TRUE
"783","Jim O Neil",0,4.88679733962753e-07,1,3.11083732410312e-05,"White",NA
"784","Corwin Brown",0,4.88679733962753e-07,1,1.32576915150618e-05,"Black",TRUE
"785","Kerry Cooks",0,4.88679733962753e-07,1,3.28103078612381e-05,"Black",TRUE
"786","Jim Burrow",0,4.88679733962753e-07,1,0.581888484524032,"White",TRUE
"787","Pete Germano",0,4.88679733962753e-07,2,0.120820287346784,"White",TRUE
"788","Jim Heacock",0,4.88679733962753e-07,2,0.000505076517004139,"White",TRUE
"789","Alex Grinch",0,4.88679733962753e-07,3,0.00111726899424503,"White",TRUE
"790","Kerry Coombs",0,4.88679733962753e-07,1,0.000263754357310036,"White",TRUE
"791","Bill Clay",0,4.88679733962753e-07,2,0.00204992711468292,"White",TRUE
"792","Rich Nagy",0,4.88679733962753e-07,2,1.51205407386456e-05,"White",TRUE
"793","Grady Brown",0,4.88679733962753e-07,1,3.52125561699676e-07,"Black",TRUE
"794","Don Lindsey",0,4.88679733962753e-07,1,8.76074534945261e-05,"White",TRUE
"795","Chuck Driesbach",0,4.88679733962753e-07,4,0.000484290244090888,"White",TRUE
"796","Wesley McGriff",0,4.88679733962753e-07,2,0.000104217383735409,"Black",TRUE
"797","Jason Jones",0,4.88679733962753e-07,2,0.000158659319072808,"Black",TRUE
"798","Chris Partridge",0,4.88679733962753e-07,1,7.98028408196868e-05,"White",TRUE
"799","Nick Aliotti",0,4.88679733962753e-07,3,0.00251299051346689,"White",TRUE
"800","Don Pellum",0,4.88679733962753e-07,1,0.00156656640635684,"Black",TRUE
"801","Joe Salave a",0,4.88679733962753e-07,1,5.40219042094245e-05,"White",NA
"802","Keith Heyward",0,4.88679733962753e-07,1,8.10328563141392e-05,"Black",TRUE
"803","Tom Bradley",0,4.88679733962753e-07,2,2.82047426536689e-05,"White",TRUE
"804","John Butler",0,4.88679733962753e-07,1,1.49795481420638e-05,"White",TRUE
"805","Anthony Poindexter",0,4.88679733962753e-07,3,0.000111234070458245,"Black",TRUE
"806","Brock Spack",0,4.88679733962753e-07,1,0.000109456725777333,"White",TRUE
"807","Donn Landholm",0,4.88679733962753e-07,1,1.19815125820683e-05,"White",TRUE
"808","Gary Emanuel",0,4.88679733962753e-07,1,1.19815125820695e-05,"Black",TRUE
"809","Nick Holt",0,4.88679733962753e-07,4,0.000778856081116315,"White",TRUE
"810","Roger Hinshaw",0,4.88679733962753e-07,1,2.15150141985787e-07,"White",TRUE
"811","Chris Thurmond",0,4.88679733962753e-07,1,0.000150114087402948,"White",TRUE
"812","Brian Smith",0,4.88679733962753e-07,2,0.00029947737311699,"White",TRUE
"813","Dennis Creehan",0,4.88679733962753e-07,1,0,"White",TRUE
"814","Paul Ferraro",0,4.88679733962753e-07,1,0.000191359495670564,"White",TRUE
"815","Bob Fraser",0,4.88679733962753e-07,1,0.000143519621752921,"White",TRUE
"816","Dave Cohen",0,4.88679733962753e-07,2,3.77415368258273e-05,"White",TRUE
"817","Bill Busch",0,4.88679733962753e-07,2,0.000169267468983608,"White",TRUE
"818","Noah Joseph",0,4.88679733962753e-07,1,8.79643988916002e-05,"White",TRUE
"819","Ken Delgado",0,4.88679733962753e-07,1,2.40974242940488e-06,"?",TRUE
"820","Kurt Mattix",0,4.88679733962753e-07,1,0.00015124219078123,"White",TRUE
"821","Paul Arslanian",0,4.88679733962753e-07,1,3.19023608194273e-05,"White",TRUE
"822","Chris Wilkerson",0,4.88679733962753e-07,1,7.5791909923278e-08,"White",TRUE
"823","Tom Williams",0,4.88679733962753e-07,2,1.1535104509002e-05,"Black",TRUE
"824","Derrick Odum",0,4.88679733962753e-07,1,3.08630368922666e-06,"Black",TRUE
"825","Eric Schumann",0,4.88679733962753e-07,3,6.74567812146014e-05,"White",TRUE
"826","Jim Gush",0,4.88679733962753e-07,1,0.000202490986352382,"White",TRUE
"827","Van Malone",0,4.88679733962753e-07,1,0.000323496905659415,"Black",TRUE
"828","Kevin Sherrer",0,4.88679733962753e-07,2,2.70689679209217e-05,"White",TRUE
"829","Travis Pearson",0,4.88679733962753e-07,1,1.07929067721755e-06,"Black",TRUE
"830","Brian Turner",0,4.88679733962753e-07,1,5.3964533860052e-07,"White",TRUE
"831","Travaris Robinson",0,4.88679733962753e-07,1,0.00032760086828872,"Black",TRUE
"832","Clayton White",0,4.88679733962753e-07,3,7.16857211341401e-05,"Black",TRUE
"833","Derek Nicholson",0,4.88679733962753e-07,1,8.43418173258255e-06,"Black",TRUE
"834","Austin Armstrong",0,4.88679733962753e-07,1,7.45586665549393e-07,"White",TRUE
"835","Ron Lynn",0,4.88679733962753e-07,1,5.8164807578115e-05,"White",TRUE
"836","Vic Fangio",0,4.88679733962753e-07,1,2.90824037890509e-05,"White",TRUE
"837","Jason Tarver",0,4.88679733962753e-07,2,0.0013908148571521,"White",TRUE
"838","Lance Anderson",0,4.88679733962753e-07,1,0.000961833153326765,"White",TRUE
"839","Steve Russ",0,4.88679733962753e-07,1,2.10096975083024e-05,"White",TRUE
"840","Derrick Jackson",0,4.88679733962753e-07,1,2.1009697508304e-05,"Black",TRUE
"841","Chuck Bullough",0,4.88679733962753e-07,2,6.12801307701896e-05,"White",TRUE
"842","Tony White",0,4.88679733962753e-07,1,2.08976933365707e-05,"Black",TRUE
"843","Chad Glasgow",0,4.88679733962753e-07,2,0.000458246232170875,"White",TRUE
"844","Raymond Monica",0,4.88679733962753e-07,1,8.95450143268335e-07,"White",TRUE
